face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3082.969,421,65.98985,4384,7,2.246094,320.1836,89.06641,495.6328,6
3084.727,421,67.51918,4384,13,2.246094,320.1836,84.22656,500.4727,6
3083.848,421,66.49746,4384,10,2.246094,320.1836,86.15234,498.5469,6
3082.969,421,64.07035,4384,10,2.246094,320.1836,83.46094,501.2383,6
3083.848,421,66.92112,4384,11,2.246094,320.1836,80.60938,504.0898,6
3083.848,421,67.93893,4384,10,2.246094,320.1836,87.89844,496.8008,6
3083.805,421,67.26343,4384,9,2.246094,320.1836,89.28906,495.4102,6
3083.848,421,64.79592,4352,12,2.246094,320.1836,84.27344,500.4258,6
3083.848,421,63.17136,4352,11,2.246094,320.1836,86.47266,498.2266,6
3084.727,421,63.15789,4352,11,2.246094,320.1836,90.76172,493.9375,6
3083.789,421,60.25,4352,13,2.246094,320.1836,87.19141,497.5078,6
3084.668,421,55.03686,4352,12,2.246094,320.1836,81.57422,503.125,6
3083.789,421,58.39599,4352,15,2.246094,320.1836,88.06641,496.6328,6
3083.848,421,64.85788,4352,13,2.246094,320.1836,81.89844,502.8008,6
3083.848,421,68.87755,4352,14,2.246094,320.1836,88.90234,495.7969,6
3084.727,421,67.95866,4352,11,2.246094,320.1836,83.51562,501.1836,6
3083.863,421,63.33333,4352,9,2.246094,320.1836,85.47656,499.2227,6
3083.848,421,67.85714,4352,16,2.246094,320.1836,89.07812,495.6211,6
3082.969,421,65.13995,4352,18,2.246094,320.1836,89.84766,494.8516,6
3083.848,421,68.95674,4352,12,2.246094,320.1836,84.67969,500.0195,6
3083.863,421,68.95674,4352,11,2.246094,320.1836,90.16016,494.5391,6
3084.727,421,67.67677,4352,15,2.246094,320.1836,84.04297,500.6562,6
3084.727,421,70.58824,4352,12,2.246094,320.1836,86.99219,497.707,6
3084.727,421,67.34694,4352,10,2.253906,320.1758,86.92188,497.7773,6
3084.727,421,68.60759,4352,8,2.253906,320.1836,84.48047,500.2109,6
3084.727,422,71.24352,4352,14,2.253906,320.1836,82.68359,502.0078,6
3083.848,422,63.95939,4352,9,2.253906,320.1836,87.30469,497.3867,6
3083.848,422,68.19338,4352,9,2.253906,320.1836,89.41797,495.2734,6
3082.09,418,67.4359,4352,11,2.253906,320.1836,83.04688,501.6445,6
3082.969,418,67.00767,4352,13,2.253906,320.1836,86.22656,498.4648,6
3084.742,418,67.68448,4352,11,2.253906,320.1836,84.8125,499.8789,6
3082.969,418,69.74359,4384,11,2.253906,320.1836,88.26562,496.4258,6
3083.848,417,65.40404,4384,16,2.253906,320.1836,88.26172,496.4297,6
3084.727,417,64.23174,4384,12,2.269531,321.6992,81.21875,501.9414,6
3084.727,417,65.98985,4384,10,2.269531,321.6992,85.39844,497.7617,6
3084.727,417,68.43434,4384,9,2.269531,321.6992,81.18359,501.9766,6
3083.848,417,66.92308,4384,12,2.269531,321.6992,82.75,500.4102,6
3083.848,417,64.72081,4384,19,2.269531,321.6992,85.08594,498.0742,6
3083.848,417,66.75127,4384,13,2.277344,321.6992,83.65234,499.5,6
