audio_classification_rpi_mem.committed_Committed_AS,audio_classification_rpi_system.active_processes_active,audio_classification_rpi_system.cpu_user,audio_classification_rpi_system.file_nr_used_used,audio_classification_rpi_system.processes_running,audio_classification_rpi_system.ram_buffers,audio_classification_rpi_system.ram_cached,audio_classification_rpi_system.ram_free,audio_classification_rpi_system.ram_used,Target
3177.738,434,11.675127,4576,3,2.109375,251.3711,137.61719,516.0312,5
3177.738,434,13.853904,4608,2,2.109375,251.3711,137.37109,516.2773,5
3177.738,434,13.118812,4608,2,2.109375,251.3711,137.37109,516.2773,5
3177.738,434,15.555556,4608,2,2.109375,251.3711,137.37109,516.2773,5
3177.738,434,12.106538,4608,2,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,12.25,4608,2,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,10.824742,4608,3,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,10.485934,4608,3,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,11.195929,4608,3,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,15.075377,4608,2,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,12.098765,4608,3,2.117188,251.3711,137.37109,516.2695,5
3177.738,434,12.0,4608,2,2.117188,251.3711,137.37109,516.2695,5
3178.742,434,10.230179,4608,3,2.117188,251.3711,136.14062,517.5,5
3178.742,434,9.585492,4608,2,2.117188,251.3711,135.84375,517.7969,5
3178.742,435,13.554987,4608,3,2.117188,251.3711,136.14062,517.5,5
3177.738,435,12.307692,4608,2,2.117188,251.3711,136.14062,517.5,5
3177.738,435,12.151899,4608,3,2.117188,251.3711,136.14062,517.5,5
3177.738,435,10.659898,4608,2,2.117188,251.3711,136.14062,517.5,5
3177.738,435,9.819121,4608,3,2.117188,251.3711,136.14062,517.5,5
3177.738,435,11.794872,4608,2,2.117188,251.3711,136.14062,517.5,5
3177.738,435,11.825193,4608,3,2.117188,251.3711,136.14062,517.5,5
3177.738,432,10.335917,4608,2,2.117188,251.3711,136.14062,517.5,5
3177.738,432,11.22449,4608,3,2.117188,251.3711,136.14062,517.5,5
3177.738,432,12.977099,4608,2,2.117188,251.3711,136.38672,517.2539,5
3177.738,432,11.82266,4608,4,2.117188,251.3711,136.38672,517.2539,5
3177.738,432,12.02046,4608,2,2.117188,251.3711,136.38672,517.2539,5
3177.738,432,10.051546,4608,3,2.117188,251.3711,136.38672,517.2539,5
3177.738,432,8.461538000000001,4608,2,2.117188,251.4961,136.38672,517.1289,5
3177.738,432,9.302326,4608,2,2.117188,251.4961,136.14062,517.375,5
3177.738,432,10.025707,4608,2,2.117188,251.4961,136.14062,517.375,5
3177.738,432,14.572864,4608,3,2.117188,251.4961,136.14062,517.375,5
3177.738,432,13.602015,4608,2,2.117188,251.4961,136.14062,517.375,5
3177.738,432,13.350126,4608,4,2.125,251.4961,136.14062,517.3672,5
3177.738,432,12.02046,4608,2,2.125,251.4961,136.33594,517.1719,5
3177.738,432,9.511568,4608,2,2.117188,239.6172,149.25781,516.1367,5
3177.738,432,12.658228,4608,2,2.117188,239.6172,149.03906,516.3555,5
3177.738,432,12.564103,4608,5,2.117188,239.6172,149.03906,516.3555,5
3177.738,432,12.02046,4608,3,2.117188,239.6172,149.03906,516.3555,5
3177.738,432,11.392405,4608,4,2.125,239.6094,149.03906,516.3555,5
3177.738,432,12.686567,4608,2,2.125,239.6172,149.28516,516.1016,5
3177.738,432,12.285012,4608,3,2.125,239.6172,149.03906,516.3477,5
3177.738,432,11.082474,4608,2,2.125,239.6172,149.03906,516.3477,5
3177.738,432,10.282776,4608,2,2.125,239.6172,149.03906,516.3477,5
3177.738,432,11.658031,4608,2,2.125,239.6172,149.23438,516.1523,5
3177.738,432,10.025707,4608,2,2.125,239.6172,149.28516,516.1016,5
3177.738,432,11.111111,4608,2,2.125,239.6172,149.48047,515.9062,5
3177.738,432,14.215686,4608,2,2.125,239.6172,149.53125,515.8555,5
3177.738,432,14.925373,4608,2,2.128906,239.6133,149.53125,515.8555,5
3177.738,432,9.326425,4608,2,2.128906,239.6172,149.53125,515.8516,5
3177.738,432,10.796915,4608,2,2.128906,239.6172,149.53125,515.8516,5
3177.738,432,10.309278,4608,2,2.128906,239.6172,149.53125,515.8516,5
3177.738,432,11.053985,4608,2,2.128906,239.6172,149.77734,515.6055,5
3177.738,433,11.398964,4608,3,2.128906,239.6172,149.77734,515.6055,5
3177.738,433,12.128713,4608,2,2.128906,239.6836,149.77734,515.5391,5
3177.738,433,10.891089,4608,2,2.128906,239.7695,149.77734,515.4531,5
3177.738,433,10.643564,4608,3,2.128906,239.7695,149.77734,515.4531,5
3177.738,433,8.311688,4608,2,2.128906,239.7695,149.77734,515.4531,5
3177.738,433,11.340206,4608,3,2.128906,239.7695,149.77734,515.4531,5
3177.738,433,11.658031,4576,3,2.136719,239.7617,149.77734,515.4531,5
3177.738,433,10.687023,4576,2,2.136719,239.7695,149.77734,515.4453,5
3177.738,433,11.311054,4576,2,2.136719,239.7695,149.28516,515.9375,5
3177.738,433,11.491443,4576,2,2.136719,239.7695,149.05078,516.1719,5
3177.738,433,13.106796,4576,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,12.113402,4576,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,9.278351,4576,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,8.78553,4576,2,2.136719,239.7695,148.55859,516.6641,5
3177.738,433,9.560724,4576,3,2.136719,239.7695,148.75391,516.4688,5
3177.738,433,14.615385,4576,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,12.468193,4576,3,2.136719,239.7695,148.80469,516.418,5
3177.738,433,10.565111,4608,3,2.136719,239.7695,148.80469,516.418,5
3177.738,433,12.068966,4608,3,2.136719,239.7695,148.80469,516.418,5
3177.738,433,10.309278,4608,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,12.5,4608,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,15.482234,4608,3,2.136719,239.7695,148.80469,516.418,5
3177.738,433,11.616162,4608,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,12.967581,4608,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,11.138614,4608,2,2.136719,239.7695,148.80469,516.418,5
3177.738,433,13.868613,4608,2,2.136719,239.7695,148.80469,516.418,5
