pose_landmarking_rpi_mem.committed_Committed_AS,pose_landmarking_rpi_system.active_processes_active,pose_landmarking_rpi_system.cpu_user,pose_landmarking_rpi_system.file_nr_used_used,pose_landmarking_rpi_system.processes_running,pose_landmarking_rpi_system.ram_buffers,pose_landmarking_rpi_system.ram_cached,pose_landmarking_rpi_system.ram_free,pose_landmarking_rpi_system.ram_used,Target
3240.066,421,65.7289,4352,13,1.4257812,138.47656,167.0625,600.1641,10
3240.066,421,69.52141,4352,13,1.4257812,138.47656,169.1484,598.0781,10
3240.066,421,68.36735,4352,11,1.4257812,138.47656,164.07812,603.1484,10
3240.066,421,71.75573,4352,11,1.4257812,138.47656,167.26953,599.957,10
3240.066,421,74.03599,4352,14,1.4257812,138.5,168.3008,598.9023,10
3240.066,421,70.99237,4352,11,1.4257812,138.5,165.67578,601.5273,10
3240.066,421,67.25441000000001,4352,8,1.4257812,138.5,168.125,599.0781,10
3240.066,421,67.92929,4352,9,1.4257812,138.5,164.17188,603.0312,10
3240.07,421,70.82294,4352,14,1.4257812,138.5,166.5625,600.6406,10
3240.07,421,69.26952,4320,14,1.4257812,138.5,170.2695,596.9336,10
3240.07,421,70.42607,4320,16,1.4257812,138.5,166.80859,600.3945,10
3240.07,421,63.43284,4320,10,1.4257812,138.5,168.9727,598.2305,10
3240.07,421,61.69154,4320,12,1.4257812,138.5,165.36719,601.8359,10
3240.07,421,62.43655,4320,7,1.4257812,138.5,166.375,600.8281,10
3240.07,421,70.81218,4320,13,1.4257812,138.5,167.36719,599.8359,10
3240.07,421,71.50127,4320,10,1.4257812,138.5,164.17188,603.0312,10
3240.07,421,68.10127,4352,10,1.4257812,138.5,172.0703,595.1328,10
3240.07,421,69.26952,4352,10,1.4257812,138.5,166.25391,600.9492,10
3240.07,421,72.36181,4352,8,1.4257812,138.5,160.92578,606.2773,10
3240.07,421,66.23711,4352,12,1.4257812,138.5,166.98828,600.2148,10
3240.07,421,73.79135,4352,10,1.4257812,138.5,167.1875,600.0156,10
3240.07,421,73.29975,4352,11,1.4257812,138.5,167.8633,599.3398,10
3240.07,421,72.30769,4352,7,1.4335938,138.49219,163.85547,603.3477,10
3240.07,421,69.89796,4352,10,1.4335938,138.5,165.4375,601.7578,10
3240.07,421,72.26463,4352,15,1.4335938,138.5,162.51953,604.6758,10
3240.07,421,70.9596,4352,13,1.4335938,138.5,166.73047,600.4648,10
3240.07,421,70.22901,4352,14,1.4335938,138.5,163.77734,603.418,10
3240.07,421,68.62245,4352,13,1.4335938,138.5,166.48438,600.7109,10
3240.07,422,72.0,4352,8,1.4453125,138.48828,163.80469,603.3906,10
3240.07,422,76.59033,4352,12,1.4453125,138.5,168.9297,598.2539,10
3240.07,422,72.77354,4352,8,1.4453125,138.5,169.9102,597.2734,10
3240.055,422,73.23232,4384,11,1.4453125,138.5,166.53125,600.6523,10
