gesture_recognition_rpi_mem.committed_Committed_AS,gesture_recognition_rpi_system.active_processes_active,gesture_recognition_rpi_system.cpu_user,gesture_recognition_rpi_system.file_nr_used_used,gesture_recognition_rpi_system.processes_running,gesture_recognition_rpi_system.ram_buffers,gesture_recognition_rpi_system.ram_cached,gesture_recognition_rpi_system.ram_free,gesture_recognition_rpi_system.ram_used,Target
3241.605,427,67.09184,4448,12,9.964844,224.6602,162.69141,509.8125,3
3241.605,427,66.49874,4448,10,9.964844,224.6602,162.09766,510.4062,3
3241.605,427,67.59494,4448,11,9.964844,224.6602,162.83203,509.6719,3
3241.605,428,67.59494,4448,11,9.964844,224.6602,166.13672,506.3672,3
3241.605,428,65.48223,4448,14,9.964844,224.6602,169.6367,502.8672,3
3241.605,428,69.7733,4448,6,9.964844,224.6602,167.75,504.7539,3
3241.605,428,65.05102,4448,14,9.964844,224.6602,166.65625,505.8477,3
3241.605,428,68.78173,4448,7,9.964844,224.6602,165.09766,507.4062,3
3241.605,428,62.43781,4480,14,9.964844,224.6602,169.8203,502.6836,3
3241.605,428,61.09726,4480,19,9.964844,224.6602,168.207,504.2969,3
3241.605,428,59.20398,4480,6,9.964844,224.6602,165.67188,506.832,3
3241.605,428,55.61097,4512,12,9.964844,224.6602,169.543,502.9609,3
3241.605,428,49.50249,4512,4,9.964844,224.6602,167.64453,504.8594,3
3241.605,428,57.39796,4512,7,9.972656,224.7539,167.17969,505.2305,3
3241.605,428,63.86768,4512,10,9.972656,224.7461,166.77344,505.6367,3
3241.605,428,64.10256,4512,10,9.972656,224.7539,166.33594,506.0664,3
3241.605,428,61.59794,4512,8,9.972656,224.7539,164.96875,507.4336,3
3241.605,428,63.17136,4512,7,9.972656,224.7539,165.32422,507.0781,3
3241.605,428,65.47315,4512,5,9.972656,224.7539,163.65625,508.7461,3
3241.605,428,65.12821,4512,12,9.972656,224.7539,167.35938,505.043,3
3241.605,428,67.69231,4512,5,9.972656,224.7539,165.96484,506.4375,3
3241.605,428,69.56522,4512,9,9.972656,224.7539,166.35547,506.0469,3
3241.605,428,68.87755,4512,7,9.972656,224.7539,170.6016,501.8008,3
3241.605,427,65.15152,4512,14,9.972656,224.7539,168.6875,503.7148,3
3241.605,427,66.66667,4512,8,9.972656,224.7539,171.957,500.4453,3
3241.605,427,67.85714,4512,10,9.972656,224.7539,170.3711,502.0312,3
3241.605,427,68.70229,4512,11,9.972656,224.7539,168.4688,503.9336,3
3241.605,427,65.15152,4512,17,9.972656,224.7539,171.7734,500.6289,3
3241.605,427,65.64885,4512,13,9.972656,224.7539,170.5977,501.8047,3
3241.605,427,67.51269,4512,17,9.972656,224.7539,168.2734,504.1289,3
3241.605,427,67.8481,4512,17,9.972656,224.7539,167.9141,504.4883,3
3241.605,427,66.32911,4512,11,9.972656,224.7539,166.98828,505.4141,3
3241.605,427,67.42424,4480,12,9.972656,224.7539,166.33203,506.0703,3
3241.605,427,67.18346,4480,10,9.972656,224.7539,164.99219,507.4102,3
3241.605,427,66.15776,4480,10,9.972656,224.7539,168.8633,503.5391,3
3241.605,427,65.31646,4480,10,9.972656,224.7539,166.10156,506.3008,3
3241.605,427,69.89796,4480,8,9.972656,224.7539,169.1289,503.2734,3
3241.605,427,69.97455,4480,9,9.980469,224.7539,166.83203,505.5703,3
3241.605,427,62.21662,4480,14,9.980469,224.7539,166.17578,506.2188,3
3241.605,427,68.78173,4480,11,9.980469,224.7539,164.87109,507.5234,3
3241.605,427,64.63104,4480,12,9.980469,224.7539,164.1875,508.207,3
3241.605,427,65.74307,4480,12,9.980469,224.7539,163.51562,508.8789,3
3241.605,427,67.43003,4480,9,9.980469,224.7539,163.29688,509.0977,3
3241.605,427,66.0804,4480,10,9.980469,224.7539,167.8672,504.5273,3
3241.605,428,66.33166,4480,14,9.996094,224.7539,167.19141,505.2031,3
3241.605,428,65.07538,4480,20,9.996094,226.3672,170.543,500.2227,3
3241.605,428,67.33167,4480,6,9.996094,226.6094,167.53516,502.9883,3
