face_landmarking_rpi_mem.committed_Committed_AS,face_landmarking_rpi_system.active_processes_active,face_landmarking_rpi_system.cpu_user,face_landmarking_rpi_system.file_nr_used_used,face_landmarking_rpi_system.processes_running,face_landmarking_rpi_system.ram_buffers,face_landmarking_rpi_system.ram_cached,face_landmarking_rpi_system.ram_free,face_landmarking_rpi_system.ram_used,Target
3196.051,422,58.52417,4320,5,0.9296875,125.15234,146.83203,634.2148,10
3196.625,425,60.76923,4320,8,0.9296875,125.15234,145.07422,635.9727,10
3196.25,422,61.53846,4320,6,1.0625,125.15234,148.08984,632.8242,10
3196.266,422,60.46512,4320,3,1.0625,125.15234,149.94922,630.9648,10
3196.266,422,59.58549,4320,8,1.0625,125.15234,148.08984,632.8242,10
3196.035,422,58.13953,4320,3,1.0625,125.15234,146.77734,634.1367,10
3196.051,422,62.08651,4320,10,1.0625,125.15234,148.37109,632.543,10
3196.25,422,56.41026,4320,5,1.078125,125.14453,145.12891,635.7773,10
3196.25,422,57.58355,4320,6,1.078125,125.15234,154.40234,626.4961,10
3196.266,422,62.59542,4320,7,1.078125,125.15234,151.65234,629.2461,10
3196.234,422,57.25389,4320,6,1.078125,125.15234,150.53516,630.3633,10
3196.266,422,64.94845,4320,3,1.078125,125.15234,151.39844,629.5,10
3196.266,422,59.12596,4320,10,1.078125,125.15234,148.63672,632.2617,10
3196.266,422,54.49871,4320,4,1.078125,125.15234,150.99609,629.9023,10
3196.066,422,60.51282,4320,3,1.078125,125.18359,147.76953,633.0977,10
3196.25,422,57.50636,4352,4,1.078125,125.18359,146.86719,634.0,10
3196.266,422,58.44156,4352,8,1.078125,125.18359,150.11719,630.75,10
3196.266,422,64.45013,4352,5,1.078125,125.18359,151.80859,629.0586,10
3196.25,422,57.21649,4352,3,1.078125,125.18359,149.75781,631.1094,10
3196.266,422,62.5641,4352,4,1.078125,125.18359,147.50391,633.3633,10
3196.25,422,57.46835,4352,8,1.078125,125.18359,149.91406,630.9531,10
3196.035,422,56.34518,4352,4,1.0859375,125.18359,147.67188,633.1875,10
3196.25,422,52.48756,4384,6,1.0859375,125.18359,151.20312,629.6562,10
3196.25,422,50.76923,4384,7,1.0859375,125.19922,148.71094,632.1328,10
3196.051,422,60.41131,4384,5,1.0859375,125.19922,148.54688,632.2969,10
3196.25,422,62.17617,4384,10,1.0859375,125.19922,146.16797,634.6758,10
3196.25,422,60.66838,4384,13,1.0859375,125.19922,148.48438,632.3594,10
3196.266,422,62.40409,4384,9,1.0859375,125.21875,151.5,629.3242,10
3196.051,422,59.53608,4384,7,1.0859375,125.21875,149.64062,631.1836,10
3196.25,422,61.46096,4384,9,1.0859375,125.21875,148.32812,632.4961,10
3196.25,422,59.23077,4384,5,1.0859375,125.21875,150.125,630.6992,10
3196.25,422,58.65633,4384,3,1.0976562,125.20703,151.77344,629.0508,10
3196.25,422,62.40409,4384,7,1.0976562,125.21875,147.29297,633.5195,10
3196.25,422,58.46154,4384,8,1.0976562,125.21875,144.72266,636.0898,10
3196.266,422,58.50515,4384,3,1.1015625,125.21875,149.36719,631.4414,10
3196.25,422,58.74674,4384,8,1.1015625,125.21875,147.75391,633.0547,10
3196.266,422,56.99482,4384,8,1.1015625,125.21875,150.67188,630.1367,10
3196.25,422,57.10594,4384,8,1.1015625,125.21875,150.26562,630.543,10
3196.25,422,58.58586,4384,7,1.1015625,125.21875,147.91406,632.8945,10
3196.25,422,57.58355,4384,3,1.1015625,125.21875,151.20312,629.6055,10
3196.266,422,62.40409,4384,6,1.1015625,125.26172,147.74219,633.0234,10
3196.25,422,59.89717,4352,5,1.109375,125.25391,145.91016,634.8555,10
3196.266,422,63.29114,4352,7,1.109375,125.26172,145.61328,635.1445,10
3196.035,422,58.33333,4352,9,1.109375,125.26172,144.54688,636.2109,10
