object_detection_rpi_mem.committed_Committed_AS,object_detection_rpi_system.active_processes_active,object_detection_rpi_system.cpu_user,object_detection_rpi_system.file_nr_used_used,object_detection_rpi_system.processes_running,object_detection_rpi_system.ram_buffers,object_detection_rpi_system.ram_cached,object_detection_rpi_system.ram_free,object_detection_rpi_system.ram_used,Target
3116.031,425,62.90727,4320,6,2.527344,219.0938,178.043,507.4648,0
3116.031,425,58.45771,4320,9,2.527344,219.0938,179.3555,506.1523,0
3116.031,425,55.88972,4320,6,2.527344,219.0938,178.9453,506.5625,0
3116.031,425,52.72277,4320,7,2.527344,219.0938,182.0781,503.4297,0
3116.031,426,51.99005,4320,4,2.527344,219.0938,179.9766,505.5312,0
3116.031,426,57.4359,4320,5,2.527344,219.0938,178.8281,506.6797,0
3116.031,426,59.48718,4320,10,2.527344,219.0938,177.5234,507.9844,0
3116.031,426,61.45833,4320,10,2.527344,219.0938,186.2891,499.2188,0
3116.031,426,61.39896,4320,10,2.527344,219.0938,183.5273,501.9805,0
3116.031,426,62.2449,4320,4,2.527344,219.0938,183.0898,502.418,0
3116.031,426,64.96164,4320,5,2.527344,219.0938,181.75,503.7578,0
3116.031,426,66.06684,4320,10,2.527344,219.0938,179.2344,506.2734,0
3116.031,427,61.75711,4320,7,2.527344,219.0938,177.4023,508.1055,0
3116.031,427,62.33766,4320,10,2.527344,219.0938,180.1875,505.3203,0
3116.031,427,58.71795,4320,7,2.527344,219.0938,178.3555,507.1523,0
3116.031,427,62.5323,4320,8,2.527344,219.0938,187.9492,497.5586,0
3116.031,427,63.54167,4320,5,2.527344,219.0938,184.8867,500.6211,0
3116.031,427,59.84655,4320,13,2.535156,219.0859,183.2734,502.2344,0
3116.031,427,63.42711,4320,11,2.535156,219.0938,181.6328,503.8672,0
3116.031,427,62.40409,4320,9,2.535156,219.0938,181.0039,504.4961,0
3116.031,427,62.5,4320,13,2.535156,219.0938,180.5117,504.9883,0
3116.031,427,58.43829,4320,13,2.535156,219.0938,183.7773,501.7227,0
3116.031,427,59.84655,4320,6,2.535156,219.0938,182.3828,503.1172,0
3116.031,427,64.45013,4352,6,2.535156,219.0938,184.3867,501.1133,0
3116.031,429,65.90331,4352,10,2.535156,219.0938,182.0625,503.4375,0
3116.031,427,64.81013,4352,11,2.535156,219.0938,180.6406,504.8594,0
3116.031,427,61.90476,4352,6,2.535156,219.0938,179.6875,505.8125,0
3116.047,427,62.18274,4352,6,2.535156,219.0938,183.4062,502.0938,0
3116.031,427,61.59601,4352,6,2.535156,219.0938,182.2578,503.2422,0
3116.031,427,65.17413,4352,7,2.535156,219.0938,180.6719,504.8281,0
3116.031,427,61.5,4352,13,2.535156,219.0938,180.0156,505.4844,0
3116.031,427,58.54271,4352,13,2.535156,219.0938,178.4844,507.0156,0
3116.031,427,57.42092,4352,15,2.535156,219.0938,178.0469,507.4531,0
3116.031,427,55.83127,4352,8,2.535156,219.2461,176.707,508.6406,0
3116.031,427,50.73892,4352,17,2.535156,219.2461,180.7656,504.582,0
3116.031,427,57.03325,4352,14,2.535156,219.2461,184.6289,500.7188,0
3116.031,427,59.05512,4352,8,2.535156,219.2461,183.3438,502.0039,0
3116.031,427,61.45833,4352,7,2.535156,219.2461,181.4297,503.918,0
3116.031,427,63.21244,4352,13,2.535156,219.2461,182.1367,503.2109,0
3116.031,427,60.15625,4352,8,2.535156,219.2461,180.1172,505.2305,0
3116.031,427,65.89744,4352,10,2.535156,219.2461,179.4609,505.8867,0
3116.031,427,59.63542,4352,13,2.542969,219.2461,182.7266,502.6133,0
3116.031,427,62.2108,4352,6,2.542969,219.2461,186.0625,499.2773,0
3116.031,427,61.1399,4352,7,2.542969,219.3438,182.7656,502.4766,0
3116.031,427,58.97436,4352,9,2.542969,219.3711,182.1094,503.1055,0
3116.031,427,62.43523,4352,11,2.542969,219.3711,181.2344,503.9805,0
3116.031,427,61.73469,4352,8,2.542969,219.4336,184.1953,500.957,0
